iso3_d,hs92,potential_market_imports_sum
ARG,6704,2539905472.0
ARG,6801,457411960.0
ARG,6802,6363043142.0
ARG,6803,490580274.0
ARG,6804,3023960980.0
ARG,6805,2149615648.0
ARG,6806,2708102739.0
ARG,6807,1157515327.0
ARG,6808,310083901.0
ARG,6809,1250008859.0
ARG,6810,5504151680.0
ARG,6811,883538445.0
ARG,6812,60346457.0
ARG,6813,705170539.0
ARG,6814,274988190.0
ARG,6815,5995252228.0
ARG,6901,120724179.0
ARG,6902,2123713772.0
ARG,6903,1395414090.0
ARG,6904,770059144.0
ARG,6905,499321338.0
ARG,6906,75886682.0
ARG,6907,8666497164.0
ARG,6908,15920919.0
ARG,6909,3829929924.0
ARG,6910,4073294582.0
ARG,6911,3004328313.0
ARG,6912,1321010332.0
ARG,6913,781286028.0
ARG,6914,1171390705.0
ARG,7001,388589635.0
ARG,7002,718520094.0
ARG,7003,632976786.0
ARG,7004,490230091.0
ARG,7005,3380367199.0
ARG,7006,823464534.0
ARG,7007,6384728926.0
ARG,7008,972516815.0
ARG,7009,3728141673.0
ARG,7010,4739498204.0
ARG,7011,53489856.0
ARG,7013,4410887246.0
ARG,7014,291174460.0
ARG,7015,87660954.0
ARG,7016,579584214.0
ARG,7017,876285331.0
ARG,7018,761307587.0
ARG,7019,6996381361.0
ARG,7020,2061434215.0
ARG,7101,240911392.0
ARG,7102,31522510180.0
ARG,7103,4863641930.0
ARG,7104,2173467014.0
ARG,7105,196578264.0
ARG,7106,16379531094.0
ARG,7107,68514933.0
ARG,7108,299332023968.0
ARG,7109,25903499.0
ARG,7110,25985702225.0
ARG,7111,57235504.0
ARG,7112,20126579664.0
ARG,7113,60472572946.0
ARG,7114,835014981.0
ARG,7115,7387952216.0
ARG,7116,1232083397.0
ARG,7117,5266139408.0
ARG,7118,419105670.0
ARG,7201,2410304605.0
ARG,7202,17937267260.0
ARG,7203,2446987904.0
ARG,7204,27939982966.0
ARG,7205,1281380163.0
